p1.key,p1.hotel_name,p1.city_name,p1.country_code,p1.hotel_address,p1.star_rating,p1.postal_code
5E876BFEA81A39E42E3019FE17303D52,Elite Grande Hotel,Manama,BH,"Bldg 3378, Road 2845, Area 428",4,5458
4F315989358CC0F3F7869F569887743D,Quality Inn West Chester,West Chester (OH),US,8567 Cincinnati Dayton Road,3,45069
A4EEBCBB9932DADE591248DFFFBDC068,MAP5 Village Resort,Goa,IN,Vithaldas Wadoo,3,403512
2833BE9FD49A063A36D3DE1E5E28ABC4,Hampton Inn & Suites San Jose Hotel,San Jose (CA),US,55 Old Tully Road,3,95111
F7C20B50AE5C6C807BAABB65B8926F07,Favehotel Daeng Tompo,Makassar,ID,"Daeng Tompo Street number 28, Losari",3,
C517E32BB18C1E2ED859947B25629103,Art Cottage Hotel,Ipoh,MY,"15 & 17,Jalan Medan Ipoh 1B/1",1,31400
D3A79027583833F1498D407A845B5E19,Leisure Vacations Brook Stone Coorg,Coorg,IN,Thalathmane Village & Post Madikeri,3,571201
BA9A1BF15E402B506E34E2E72822B9AD,Malmaison Reading,Reading,GB,18-20 Station Road,4,RG1 1JX
F91D376E17B9DFF84B8038EF2DDF75DF,Chengdu Rongcheng Times Apartment Chunxi Branch,Chengdu,CN,"Room 1617, Tower B, Xinian Plaza, No. 200 Xiadong Street",2,610000
E6849F2C6D528A12AAC41540441D47C8,Comfort Inn,Fairfield (NJ),US,286 Route 46 East,2,7004
294E408C3FE15668E874D6BE3EF298E6,7 Days Inn Guangzhou Luochongwei Fu Li Ban Dao,Guangzhou,CN,No.10 Zeng Cha Road,2,
7C6A63421F465FF5F692CB2E81C84481,Matsumoto Tourist Hotel,Nagano,JP,2-4-24 Fukashi,3,390-0815
7046C8C0E1E9E092A60920BD25CF5C23,1999 Bed and Breakfast,Hualien,TW,"No.5, Ln. 80, Minguo Rd.",3,97049
985F664580954CF0737DB6AB44E96938,Grand Luley Resort,Manado,ID,"Tongkaina, Kecamatan Bunaken, North Sulawesi",4,95244
C74C46453B3C92398CAC8F9240FCB236,Shwe Pyi Resort,Bago,MM,"No.99(c),Yangon- Bago Highway,10 mile",3,
3750FC22021B50F6ADA1405E4AF6DF25,The Lotus Terraces,Samui,TH,"12/18 Moo 5, Maenam",5,84330
ECC331F11EFC0FA2D657EC22522DF2D5,Hoang Minh Chau Hotel,Dalat,VN,"10 Nguyen Chi Thanh Street,ward 1",2.5,670000
